axle_description,weight_per_axle,description_summary,axle_count,group_count,approx_axle_length,axle_length,max_axle_width,axle_group_summary,axles_per_group,axle_group_tire_type,axle_group_width,axle_operating_weights,axle_group_weight,axle_group_max_width,axle_group_total_weight,axle_group_distance
adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,159420.97,curae duis,4,6,9.0,14.17,17.32,odio cras mi,4,4,25.4,64437.9,75912.7,32.94,50582.38,38.43
faucibus orci luctus et ultrices posuere cubilia curae donec pharetra,395554.79,id mauris vulputate,9,7,18.86,7.5,15.95,turpis eget,3,4,33.41,97110.08,10777.79,36.4,63102.48,24.89
interdum eu tincidunt in leo maecenas pulvinar lobortis,379223.08,ac lobortis vel dapibus,7,5,6.71,19.29,7.95,nunc purus phasellus in felis,2,2,26.71,11517.11,41601.03,20.43,36650.46,21.73
bibendum imperdiet nullam orci pede venenatis,102931.64,purus eu,6,4,8.84,9.07,6.08,ut massa quis augue,2,2,25.28,71518.17,40212.86,23.71,44862.04,32.86
turpis nec euismod scelerisque quam turpis,357318.0,quis orci eget orci,5,8,10.81,13.88,8.3,consequat nulla nisl,3,2,31.96,33404.74,90984.24,43.11,54153.25,48.48
placerat praesent blandit nam nulla integer pede justo,260152.83,consequat morbi a,7,8,18.76,14.1,17.71,accumsan felis ut at dolor,4,2,47.7,89489.14,38988.1,49.44,18229.23,28.98
integer ac neque duis bibendum morbi non,123129.11,at lorem integer,6,4,10.85,15.05,8.25,felis fusce posuere felis,3,3,28.78,94069.76,81857.62,30.2,78367.01,43.82
proin at turpis a pede posuere,100458.55,et tempus semper est,8,6,19.26,13.47,9.18,porttitor pede justo eu massa,3,2,36.86,38778.22,93810.0,25.72,98392.25,44.77
non mauris morbi non lectus aliquam sit,421816.34,suspendisse ornare,9,7,13.14,9.33,7.53,non quam nec dui luctus,2,2,22.05,49974.93,84401.49,33.37,91519.69,24.25
odio justo sollicitudin ut suscipit a,438348.51,congue diam id,10,5,13.14,18.98,11.06,vel sem sed sagittis,2,2,24.12,61040.84,41037.14,26.53,88504.16,21.41
quis justo maecenas rhoncus aliquam lacus morbi quis,142281.17,mollis molestie,9,5,12.05,12.45,6.51,posuere nonummy integer non,4,4,45.61,60569.5,94084.99,46.67,54012.95,22.39
congue elementum in hac habitasse platea dictumst morbi vestibulum,133968.85,vestibulum rutrum rutrum neque aenean,3,6,15.07,8.9,7.11,parturient montes nascetur ridiculus,3,3,38.88,53101.3,83625.25,32.36,66016.19,46.17
donec semper sapien a libero nam,313533.88,ridiculus mus,3,9,8.49,17.62,17.36,praesent lectus,2,3,21.18,33816.3,99970.97,31.57,28632.68,27.3
diam in magna bibendum imperdiet,274386.02,donec diam neque,7,8,19.94,7.43,15.04,odio justo sollicitudin ut suscipit,2,4,26.36,43631.8,90224.16,32.23,37736.34,48.84
lorem ipsum dolor sit amet consectetuer adipiscing elit,499542.29,iaculis justo in hac,6,6,18.09,16.66,11.42,tempor turpis nec euismod,4,3,40.55,37269.15,13840.53,29.86,61382.23,22.92
proin eu mi nulla ac,366912.79,dapibus nulla suscipit,9,10,16.66,19.36,13.16,nam ultrices libero non mattis,4,4,27.73,23498.88,99968.84,29.81,65041.58,43.21
hac habitasse platea dictumst maecenas ut massa quis augue,142929.88,vulputate justo in blandit ultrices,4,7,16.36,13.64,15.41,curabitur gravida nisi at nibh,2,2,27.6,17661.32,16916.09,24.83,54955.07,31.84
in lectus pellentesque at nulla,287103.12,fusce lacus purus,9,4,11.97,6.08,15.82,quam a,2,3,42.27,87837.72,34308.28,44.09,48039.72,38.19
enim leo rhoncus sed vestibulum,313284.5,ultrices posuere cubilia curae,9,4,11.52,12.76,10.85,ante nulla,4,3,48.88,86621.44,54216.42,38.04,99045.33,29.35
eget massa tempor convallis nulla neque,193723.29,platea dictumst maecenas,9,9,14.75,7.53,14.14,enim leo rhoncus sed vestibulum,3,4,33.43,45996.97,42644.13,20.88,79569.69,42.75
sapien a libero nam dui,363260.04,in lectus pellentesque at nulla,3,10,14.87,6.01,15.37,curabitur in libero ut massa,2,3,23.63,57138.64,14017.5,25.11,94109.07,41.03
in tempor turpis nec euismod scelerisque quam,255196.22,cum sociis natoque,8,6,13.51,13.07,15.56,congue vivamus metus arcu,4,4,32.9,75319.6,82868.66,33.85,43482.39,49.66
tristique fusce congue diam id ornare imperdiet sapien,280044.4,justo morbi ut,5,5,18.8,11.71,14.97,justo sollicitudin ut suscipit a,2,3,34.78,61226.28,22178.66,44.28,91583.26,32.76
varius ut blandit non interdum in,390136.02,vel lectus in quam,5,10,15.68,15.92,10.74,in purus,3,2,37.7,18867.45,45562.89,36.18,55938.53,31.26
orci pede venenatis non sodales sed,489465.36,at turpis,4,5,12.01,10.66,18.28,quisque erat,2,4,21.53,91682.91,95699.96,33.7,30140.8,23.49
in felis eu sapien cursus,488216.21,faucibus orci luctus et ultrices,4,7,16.75,15.04,15.93,duis faucibus accumsan odio,3,2,26.83,99433.98,81226.16,48.58,61558.39,38.4
ante vivamus tortor duis mattis egestas metus aenean fermentum donec,111209.76,nunc nisl duis bibendum,5,6,14.91,16.54,10.91,accumsan tortor quis,3,2,26.08,82341.46,83934.83,36.71,79932.23,21.74
sapien a libero nam dui proin leo odio porttitor id,207962.03,nonummy maecenas,4,2,13.74,16.29,16.27,amet nunc viverra dapibus nulla,4,3,40.92,89697.55,10990.94,23.96,72677.75,32.19
velit eu est congue elementum in hac habitasse platea,455505.24,eget eleifend,10,4,10.43,16.59,15.31,malesuada in imperdiet et commodo,3,4,25.27,91615.27,59002.28,44.91,22928.15,26.43
vivamus in felis eu sapien,484619.11,pulvinar lobortis est phasellus,5,10,11.31,12.93,17.08,diam cras pellentesque,3,3,46.94,57821.03,41836.05,25.72,66935.26,28.19
sed tincidunt eu felis fusce,492865.16,justo etiam pretium iaculis,6,7,16.19,18.72,17.58,potenti in eleifend quam,4,3,37.46,20891.73,84678.68,49.71,64429.99,27.49
praesent lectus vestibulum quam sapien varius,457510.44,pretium nisl ut,7,3,12.64,8.9,8.44,semper est quam,4,4,49.64,67707.47,47125.45,21.64,12865.77,47.88
orci eget orci vehicula condimentum curabitur in libero ut,377898.96,nibh quisque id justo,9,3,7.45,16.34,9.86,ligula vehicula consequat morbi a,2,2,42.04,23709.68,46409.42,39.12,25341.33,38.46
nonummy maecenas tincidunt lacus at velit vivamus vel nulla,381960.81,sagittis sapien cum sociis,3,4,13.12,16.04,7.62,fusce congue diam,4,4,40.28,99743.61,25064.2,33.68,15476.05,42.43
justo sollicitudin ut suscipit a,263102.26,arcu adipiscing molestie,7,4,11.91,15.09,12.54,rhoncus aliquet pulvinar sed nisl,3,2,42.09,43468.33,23005.19,37.93,94373.03,27.07
elementum eu interdum eu tincidunt in,379036.93,donec posuere metus vitae,10,8,19.33,13.79,10.43,dui vel sem,2,2,45.03,86585.5,64850.58,34.14,26326.08,22.68
vulputate nonummy maecenas tincidunt lacus at velit,383635.71,ut massa quis augue,8,8,17.73,10.25,6.49,pede libero quis,3,2,26.09,42987.99,89322.49,36.21,80261.82,23.37
hac habitasse platea dictumst morbi vestibulum,176460.43,odio condimentum id luctus nec,6,5,10.59,17.08,7.15,vitae nisl,2,3,27.77,36751.75,56924.56,28.48,72252.13,40.83
rutrum at lorem integer tincidunt ante,219291.02,aliquam augue quam sollicitudin vitae,4,10,7.0,11.88,17.42,faucibus orci luctus et,4,4,21.87,42507.42,32187.89,44.37,22420.15,48.7
in lacus curabitur at ipsum ac tellus semper interdum,113151.52,in faucibus orci luctus et,6,5,9.47,15.44,12.88,habitasse platea,3,3,30.74,30680.94,21298.74,36.89,16908.86,30.92
volutpat erat quisque erat eros viverra,193304.64,molestie hendrerit,5,3,8.27,18.02,8.47,etiam pretium,2,2,28.57,35058.02,78275.08,29.9,73202.25,41.53
at nunc commodo placerat praesent blandit nam nulla,228389.86,leo odio condimentum id,3,10,9.08,15.89,15.95,ultrices mattis odio donec,2,3,38.68,76878.49,33300.14,25.79,44510.9,26.0
odio consequat varius integer ac leo,422189.61,rutrum at lorem integer,3,6,14.1,11.19,17.56,at turpis,2,4,35.57,34476.42,65207.34,39.5,23566.84,23.83
nisi at nibh in hac habitasse platea dictumst aliquam augue,102171.0,est donec odio,7,7,9.17,12.56,7.5,parturient montes nascetur,3,3,24.02,32477.56,64380.29,48.0,76049.18,31.8
amet justo morbi ut odio cras mi pede malesuada in,266521.56,curabitur gravida,5,4,12.63,17.56,7.47,volutpat in congue etiam,3,4,32.17,12129.17,37025.29,30.88,72160.13,27.94
id massa id nisl venenatis lacinia,214260.1,mi sit amet,5,7,16.47,12.93,9.01,quam a odio in hac,2,2,21.23,40664.1,52199.48,29.29,32972.9,48.51
etiam faucibus cursus urna ut tellus nulla ut erat,226085.11,id ligula suspendisse ornare,8,4,17.52,7.09,11.41,ligula nec,4,3,37.39,71440.23,90751.95,41.35,15539.53,41.45
dui nec nisi volutpat eleifend donec ut,141918.52,platea dictumst etiam faucibus,4,3,12.57,18.93,17.12,lorem integer tincidunt,2,4,29.51,73287.2,93382.48,29.39,13280.02,36.98
rhoncus aliquam lacus morbi quis tortor,377713.69,in est,8,3,18.41,15.47,12.05,in consequat ut nulla sed,4,2,23.41,68324.32,82783.99,49.75,41341.04,45.4
ullamcorper purus sit amet nulla quisque arcu,491958.42,vel augue,6,10,10.57,13.02,17.94,aliquam erat volutpat in,4,3,35.38,71084.06,63288.39,45.26,70021.43,43.45
fusce lacus purus aliquet at feugiat,104509.56,mollis molestie,5,2,16.71,16.32,7.22,rutrum rutrum neque aenean,2,3,24.58,48053.25,48951.78,27.24,29554.83,30.58
in tempor turpis nec euismod scelerisque quam,322342.06,dictumst maecenas ut massa quis,4,2,19.63,11.75,11.58,accumsan tellus nisi eu,3,3,39.41,86309.78,20625.78,25.25,14301.52,35.52
vel ipsum praesent blandit lacinia erat,149252.09,sem sed,9,3,11.78,13.17,10.75,imperdiet et commodo,3,4,47.59,98814.49,19348.12,30.3,85092.76,21.95
quis turpis eget elit sodales scelerisque mauris sit,397548.3,cras mi pede malesuada,7,3,17.15,13.72,8.08,congue vivamus metus,2,2,35.18,17917.07,53647.31,43.98,65540.2,21.27
interdum in ante vestibulum ante ipsum,215502.14,nascetur ridiculus mus etiam,10,2,12.05,15.47,14.54,tellus nisi eu orci,4,4,48.4,47692.01,77506.42,21.34,30089.04,40.49
ut volutpat sapien arcu sed augue aliquam erat,253929.7,vulputate vitae nisl,9,6,10.25,18.57,8.44,luctus et ultrices posuere,2,2,27.26,88728.64,14364.44,34.23,93944.14,38.17
ipsum dolor sit amet consectetuer adipiscing,247233.33,ligula in lacus curabitur,4,6,17.31,15.82,16.62,ante ipsum primis in faucibus,2,4,23.38,99442.93,33767.88,45.4,22236.4,31.19
vel dapibus at diam nam tristique tortor,229684.37,nam tristique tortor,8,3,13.17,10.16,6.98,porttitor pede justo,4,4,31.32,13622.76,15938.55,41.09,17727.46,25.37
odio odio elementum eu interdum eu tincidunt in leo,182974.89,sagittis sapien,9,9,6.61,14.33,15.19,mi sit amet,4,2,24.02,68624.78,10278.64,49.63,57467.1,23.69
fusce congue diam id ornare imperdiet sapien urna pretium,138138.67,ut at dolor quis odio,4,6,17.8,14.51,6.57,turpis donec posuere metus,2,3,34.67,22344.44,17042.0,41.83,20117.26,45.68
suspendisse accumsan tortor quis turpis sed ante vivamus,287544.26,fusce lacus purus aliquet at,4,3,11.89,12.03,10.21,sodales sed,2,3,30.57,28539.46,21499.06,27.47,48184.61,37.61
pretium nisl ut volutpat sapien,342370.5,eu felis fusce posuere,4,3,12.08,6.47,7.84,mus etiam vel augue vestibulum,4,3,25.04,20275.15,89496.38,47.77,72344.44,32.32
aliquam sit amet diam in magna,394399.09,lobortis sapien sapien non mi,10,10,14.13,10.19,14.23,bibendum morbi,4,4,45.72,72462.13,88322.24,42.95,46176.63,29.79
in tempor turpis nec euismod scelerisque,377267.31,cursus urna ut,8,10,9.46,18.13,19.09,quam turpis adipiscing lorem,3,3,23.33,46263.62,78499.72,49.2,69048.93,39.46
dapibus duis at velit eu est congue elementum in hac,133167.92,et magnis dis,5,4,7.4,13.82,12.53,accumsan tortor quis turpis sed,4,4,39.54,26385.2,56158.48,37.08,60627.37,24.04
metus sapien ut nunc vestibulum,197957.85,proin risus praesent lectus vestibulum,7,10,9.33,12.81,14.77,lacus curabitur at ipsum,3,2,27.01,72366.91,58412.56,47.96,29428.0,26.5
in leo maecenas pulvinar lobortis est,139533.05,in sagittis dui,10,4,15.49,15.08,9.74,velit donec diam neque vestibulum,4,3,43.76,87693.11,89954.85,21.09,77968.55,33.06
parturient montes nascetur ridiculus mus vivamus,249305.61,integer tincidunt,8,7,7.65,10.83,18.4,penatibus et magnis dis parturient,3,2,32.77,93899.42,53146.08,24.98,88883.26,45.92
amet consectetuer adipiscing elit proin interdum,378280.99,velit id pretium iaculis,6,7,13.86,11.07,18.41,consectetuer adipiscing elit,3,2,42.5,98919.55,89552.26,41.48,71070.51,32.9
erat curabitur gravida nisi at nibh in,355943.46,ut erat,8,7,17.63,12.14,17.07,fusce consequat nulla nisl,3,4,32.57,90955.95,82382.75,39.93,29950.09,34.44
lorem integer tincidunt ante vel ipsum praesent blandit lacinia,136827.88,sem sed sagittis,4,4,17.72,8.32,9.31,consectetuer adipiscing elit,4,2,46.69,21606.35,10119.86,44.12,55429.79,40.16
imperdiet sapien urna pretium nisl ut,135524.24,libero ut massa volutpat convallis,8,9,10.85,10.41,14.79,nisi eu,3,2,29.63,41873.6,14898.7,40.73,12631.76,20.14
lobortis sapien sapien non mi integer ac neque,282708.33,in tempor,10,10,19.31,17.52,19.94,nascetur ridiculus mus vivamus vestibulum,4,3,30.44,24608.45,58473.51,35.41,34821.78,30.7
sed vestibulum sit amet cursus id turpis integer aliquet massa,257921.52,nulla ac enim in,3,5,6.45,8.0,10.32,amet erat,3,4,27.88,94304.63,20583.99,40.68,72739.62,43.51
nibh in quis justo maecenas,339346.62,ante nulla justo aliquam quis,4,5,10.07,16.02,18.43,posuere cubilia,2,3,32.31,36140.22,86247.89,33.1,45931.57,30.41
ipsum dolor sit amet consectetuer,188330.26,sit amet justo morbi ut,8,7,14.48,6.1,16.92,sit amet,3,2,20.22,53643.18,57655.66,30.77,73763.47,43.15
sagittis nam congue risus semper porta volutpat,390257.16,ultricies eu nibh quisque,5,4,17.13,11.15,12.26,eros viverra eget congue eget,2,3,22.75,83850.5,53559.4,46.75,33630.11,43.66
in blandit ultrices enim lorem ipsum dolor,143460.61,dapibus dolor vel est,8,2,17.05,15.57,11.7,etiam justo,4,4,24.6,69134.56,90527.09,35.67,89981.03,40.05
libero rutrum ac lobortis vel dapibus at diam nam,342312.4,in felis,5,10,10.41,13.31,6.22,curabitur gravida nisi,4,2,25.92,25756.33,90469.98,21.29,21506.73,28.41
gravida nisi at nibh in hac habitasse platea,359165.72,purus aliquet,10,5,10.43,19.72,18.79,nunc commodo placerat,2,3,43.58,17985.62,58886.53,26.16,94935.29,23.18
pede lobortis ligula sit amet eleifend,378938.06,aliquet at feugiat non pretium,7,6,6.46,17.42,19.66,est phasellus,2,2,35.04,61768.56,46066.58,35.36,35889.89,46.0
justo in hac habitasse platea dictumst etiam faucibus cursus urna,434036.62,nisi eu,10,8,19.48,11.14,17.0,consequat dui,3,2,22.65,15207.42,68468.2,46.81,22983.3,28.97
amet justo morbi ut odio cras,111183.29,nullam varius,5,4,12.76,7.99,9.34,dui luctus,3,3,38.14,99507.08,32411.76,48.43,98723.2,37.61
enim in tempor turpis nec euismod scelerisque quam turpis,123714.03,at feugiat non,5,4,7.5,10.45,8.18,parturient montes nascetur ridiculus mus,4,4,46.66,76800.16,21442.48,46.05,48468.75,32.63
erat nulla tempus vivamus in felis eu sapien cursus vestibulum,391826.51,nisi at nibh in,3,8,9.65,9.34,14.96,augue a suscipit nulla elit,4,4,24.5,61856.82,97628.92,22.63,29299.99,22.11
luctus rutrum nulla tellus in sagittis dui vel nisl duis,195938.66,mauris eget massa,7,2,10.55,8.71,10.61,nam dui,2,2,36.24,47731.0,79628.51,28.0,79339.01,23.85
felis fusce posuere felis sed lacus morbi sem mauris laoreet,191855.66,ut erat,8,3,7.37,9.77,14.53,ligula nec,3,4,31.82,10089.28,75852.34,36.74,69875.14,23.57
tortor duis mattis egestas metus aenean fermentum,334394.94,amet sapien dignissim,3,5,6.05,15.11,14.45,vehicula consequat,3,2,43.32,12561.35,75624.39,45.54,86304.89,43.35
nullam sit amet turpis elementum ligula vehicula consequat,187022.56,nullam sit amet turpis elementum,7,8,12.73,18.27,10.71,amet nunc viverra,2,3,41.62,53861.23,28363.4,47.92,74442.79,43.7
molestie hendrerit at vulputate vitae nisl aenean lectus,359395.43,duis consequat dui,9,2,8.59,6.96,12.61,venenatis non,4,2,45.11,44657.01,66730.11,34.21,58753.51,43.91
nonummy maecenas tincidunt lacus at velit vivamus vel nulla,361769.15,dictumst morbi vestibulum velit id,9,4,8.93,10.94,18.31,lobortis convallis tortor risus dapibus,4,2,44.09,75363.95,12748.89,40.7,24359.51,37.96
natoque penatibus et magnis dis parturient,266547.0,parturient montes,6,6,9.68,9.74,6.99,pretium nisl ut volutpat,2,2,25.25,78935.69,82840.22,22.52,25797.76,49.9
pellentesque ultrices phasellus id sapien in sapien,389457.01,congue vivamus,4,5,7.38,13.71,17.76,tortor risus dapibus,2,2,27.57,14732.59,15526.46,42.72,51495.63,29.77
viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,361758.31,id pretium iaculis,4,2,6.09,10.04,10.03,a libero nam dui,3,4,24.41,87976.73,92846.76,28.29,94298.97,26.15
velit eu est congue elementum in hac habitasse platea dictumst,364286.87,iaculis justo in hac habitasse,7,4,9.51,13.0,18.89,lacus at turpis,2,4,41.59,70698.03,12317.14,48.97,41812.51,42.41
et ultrices posuere cubilia curae donec,361005.76,quis orci eget orci,3,2,7.76,18.71,16.08,potenti in,2,3,32.31,82062.86,80462.64,32.49,19851.76,35.17
consequat lectus in est risus auctor sed tristique,204518.45,accumsan felis ut,9,10,17.06,19.78,16.7,interdum mauris ullamcorper,4,2,25.46,65449.46,56024.36,23.48,86018.8,23.17
vel nulla eget eros elementum pellentesque quisque porta volutpat erat,173280.28,in ante vestibulum ante ipsum,7,9,12.17,10.79,16.38,eget tincidunt eget tempus,2,4,26.95,29442.08,60686.13,34.91,56909.19,32.42
velit vivamus vel nulla eget eros elementum pellentesque quisque,265764.53,metus aenean fermentum donec,6,5,8.3,14.2,8.5,posuere felis,3,2,23.21,20405.08,55361.08,36.94,68066.25,27.04
posuere felis sed lacus morbi sem mauris laoreet ut rhoncus,112443.85,adipiscing elit proin interdum mauris,6,9,7.81,14.61,10.19,ut tellus nulla ut erat,2,4,20.78,27500.4,50636.13,44.22,16008.58,22.78
orci luctus et ultrices posuere,246526.62,non lectus aliquam sit amet,9,6,8.01,7.28,10.52,donec semper sapien a libero,2,4,34.51,13049.87,17574.74,29.2,27487.9,30.99
blandit lacinia erat vestibulum sed magna at,395627.65,id turpis,8,6,12.33,10.77,17.11,posuere cubilia,2,4,28.0,33357.1,75398.88,42.35,28482.22,40.26
nullam sit amet turpis elementum ligula vehicula,481090.98,magnis dis parturient montes nascetur,6,3,12.55,15.27,6.99,penatibus et magnis,3,2,23.01,19338.92,48848.72,43.17,39804.1,35.55
semper interdum mauris ullamcorper purus sit,474583.4,amet sapien dignissim,4,8,9.16,6.27,7.55,phasellus sit amet,4,3,47.05,19032.63,68621.56,38.31,84601.12,42.0
vehicula consequat morbi a ipsum integer a nibh in,165288.38,placerat praesent,7,5,12.0,14.31,9.22,donec vitae,4,2,41.15,99589.36,21152.77,29.6,98336.52,20.33
consectetuer adipiscing elit proin risus praesent,460239.55,ipsum dolor sit amet,5,9,7.5,6.6,13.77,tempus semper est,4,3,23.53,14863.28,41798.52,46.45,83555.12,34.16
eu mi nulla ac enim in tempor turpis nec,169224.54,penatibus et,3,6,10.59,16.85,17.0,feugiat et,2,2,22.41,80449.93,25864.13,29.92,97903.81,22.09
mauris viverra diam vitae quam,448079.07,nec condimentum neque sapien placerat,8,10,16.27,11.25,19.19,in ante vestibulum ante ipsum,2,2,44.13,71006.23,88767.75,49.73,18259.6,48.82
ultrices posuere cubilia curae duis faucibus accumsan,318285.59,a libero nam,9,10,6.55,10.13,13.99,iaculis diam erat fermentum,4,4,23.09,17023.58,95543.29,43.71,12109.69,21.06
vivamus metus arcu adipiscing molestie hendrerit,316765.93,suscipit nulla elit,6,3,14.44,8.16,7.39,etiam justo etiam pretium,2,3,40.23,93010.64,24873.14,38.77,15971.29,44.61
eget elit sodales scelerisque mauris sit,377421.32,nullam sit,3,6,10.19,16.23,18.23,vehicula condimentum curabitur in libero,3,2,25.7,36419.03,44993.03,31.84,26887.02,37.34
justo nec condimentum neque sapien placerat ante,391123.28,eleifend pede libero,10,5,14.39,9.99,17.79,quam sapien varius ut,4,4,32.36,26450.42,27443.46,48.75,56944.49,28.69
pretium nisl ut volutpat sapien,236467.37,sit amet cursus id,3,10,8.6,18.65,10.41,arcu adipiscing molestie hendrerit at,3,2,43.09,74865.12,89751.69,42.82,52754.53,25.43
neque sapien placerat ante nulla justo aliquam,282429.83,ut mauris eget,8,5,6.74,7.59,6.01,lobortis convallis tortor,4,3,49.15,53382.08,53016.08,45.82,91809.69,35.47
ultrices vel augue vestibulum ante,104918.08,aenean auctor,9,10,16.93,15.82,12.42,metus arcu adipiscing molestie hendrerit,2,3,24.44,57486.75,17473.2,49.37,28090.28,35.24
odio curabitur convallis duis consequat dui nec,323857.25,ut tellus nulla ut erat,3,6,16.51,16.69,10.62,orci luctus et ultrices posuere,4,2,38.3,62447.29,98379.3,45.88,15876.23,31.66
ligula sit amet eleifend pede libero quis orci nullam molestie,254552.84,in imperdiet et commodo,4,7,10.94,7.8,17.3,magna vulputate luctus,2,3,28.27,70956.71,91329.29,30.99,17407.74,43.77
in hac habitasse platea dictumst etiam faucibus,107077.25,faucibus orci,5,10,13.82,11.76,6.22,rutrum neque aenean auctor,4,3,48.17,29013.96,41138.35,42.26,55476.57,26.89
ac nibh fusce lacus purus aliquet at feugiat non pretium,478659.99,lacinia nisi venenatis tristique,4,8,9.56,18.13,12.19,non velit nec nisi vulputate,2,4,40.32,26107.08,26583.07,42.57,30570.24,44.22
odio in hac habitasse platea dictumst,442518.54,donec odio justo sollicitudin ut,7,10,11.87,10.46,18.98,augue luctus tincidunt nulla,4,4,48.63,30363.71,91084.83,33.96,92141.62,37.47
pulvinar nulla pede ullamcorper augue a,161098.55,ut suscipit,8,8,19.41,16.42,7.49,id massa id nisl,3,2,35.57,49278.89,30189.25,32.67,64758.78,39.24
blandit mi in porttitor pede justo eu massa,231652.68,quis libero nullam sit amet,5,6,12.54,10.25,18.79,dis parturient montes nascetur ridiculus,4,2,33.94,35308.95,12332.25,36.95,54505.36,41.77
suspendisse ornare consequat lectus in est risus auctor sed tristique,301673.05,nibh in hac habitasse,8,4,10.11,15.71,10.65,sit amet diam in magna,3,2,26.66,69601.88,98560.67,37.02,79983.34,27.29
lacus morbi quis tortor id,384444.85,pellentesque ultrices,6,7,17.83,14.33,10.04,quis orci eget orci vehicula,2,4,40.58,59083.33,21863.26,32.59,57787.6,26.87
